ID,Predicted_LifeExpectancy
1,62.23810971765988
2,62.956817071744894
3,62.789142247358996
4,62.27461996325789
5,61.40646698249793
6,60.63516539835314
7,57.65355540379133
8,59.351712779413305
9,58.98979912123178
10,56.1786780134515
11,56.40421267658084
12,54.313258094496774
13,53.89144468017358
14,55.17339298836515
15,61.83616304126926
16,60.33402114586761
17,85.15001244762368
18,86.21843030676419
19,85.14888595080106
20,85.07570110825802
21,84.71538375760133
22,84.08681772369854
23,83.42781498841006
24,83.70117328037276
25,81.37038987940014
26,83.0158556657546
27,81.33687538348244
28,79.78961552601984
29,80.62776603604047
30,80.6167839078636
31,81.41186930280102
32,76.30362335710689
33,82.35061768608031
34,82.43694071032232
35,79.58054496368672
36,82.92319913600312
37,81.77751823931598
38,80.82007381782856
39,80.37462854507592
40,80.91489907059733
41,82.21416630294917
42,78.23531689547744
43,79.934264497913
44,79.44778004453474
45,77.78371339392388
46,80.9041125523639
47,77.58731733057812
48,77.19902320583029
49,74.62087482856899
50,77.1219550688875
51,73.8935449181694
52,73.9423649292334
53,73.92892454557742
54,73.82513193329734
55,72.09886180635746
56,72.03538160906902
57,73.59676435715019
58,73.46502529938681
59,73.18091130592836
60,72.90661688056116
61,72.58861435087667
62,76.06218733134892
63,72.8175007666758
64,67.382361673708
65,72.53856841101859
66,72.32077685046255
67,71.9791971992893
68,70.4704510660172
69,71.6635818356452
70,73.49082714528404
71,74.80674152771002
72,70.64982618588502
73,70.24407589266886
74,69.93830146974267
75,69.83495646594073
76,69.64674573112745
77,73.72242275727817
78,68.66027834162813
79,68.00477719149089
80,67.90448136808044
81,74.17075737212431
82,74.2541321776697
83,75.68807254726346
84,74.1236414329162
85,73.45385864075752
86,72.21268659027706
87,69.38631767979635
88,73.27420273758375
89,74.96581330448637
90,74.66896298020384
91,68.68336650045441
92,67.29712722100251
93,69.17534891138976
94,66.31821921413933
95,66.90344867368077
96,58.84376230416078
97,61.92088590332878
98,68.0906857127656
99,58.67630900103177
100,60.76535671804854
101,59.271027836428175
102,60.30133232269594
103,59.57046188047238
104,58.37310451047304
105,57.85395816628113
106,57.357992198841
107,57.09895591930962
108,56.215231658277474
109,55.120374042201064
110,54.00365881968867
111,54.45490708474796
112,55.52419047502744
113,68.6417984510934
114,67.63382881906506
115,66.00485539474707
116,66.11684428579974
117,70.02904983444259
118,66.26768369504353
119,66.31773182786588
120,65.94219216621926
121,68.57589336691805
122,60.51053276482497
123,63.537764378058284
124,62.682110627929205
125,61.17266782368452
126,59.60441282956944
127,57.60863182711216
128,59.038707727256224
129,62.67228692714116
130,61.54836786626612
131,61.306670057696465
132,60.61895463475241
133,59.80016242598532
134,67.3920531081167
135,56.85327629861612
136,58.97777485696662
137,57.78090569238458
138,57.50922964509246
139,62.82198544435386
140,56.23841505474212
141,55.966719439585944
142,62.97744134364274
143,62.032498684121975
144,53.9699992804311
145,80.50826989670543
146,78.38106225708148
147,80.68650239167602
148,80.94464152472463
149,78.11738819517433
150,80.99947848214984
151,77.57108998271795
152,79.79341032052673
153,77.95572695088413
154,77.51014408846174
155,78.74030803825863
156,76.77472824336596
157,76.39546136004981
158,77.45898550538018
159,78.80119617556474
160,77.23065695299405
161,57.5790598575833
162,56.609608930892165
163,56.58277509900347
164,55.06288700551315
165,54.656593363678525
166,55.22564337360987
167,60.66038268702033
168,52.26863809974088
169,53.83528680526999
170,52.41156392003475
171,60.42141000457889
172,59.969490901843216
173,59.98294563394825
174,58.46231158803249
175,59.10886855454328
176,56.067252515519385
177,75.63419793023832
178,76.24842861987673
179,74.90263989035927
180,75.21398795041989
181,75.90568938545027
182,75.73159272279165
183,75.60709057621182
184,75.38126173269097
185,74.8369789748553
186,74.35507989270195
187,73.79644595174514
188,75.44148490601674
189,75.23495429730443
190,74.73733637964844
191,74.59804793249211
192,71.41456725136172
193,72.94603838316922
194,69.04120021974211
195,72.53043599761986
196,72.79167312484279
197,72.3723657001774
198,74.5771227057476
199,74.7410417897838
200,72.02175646588256
201,71.7097970038881
202,71.28572774960793
203,69.84054018765298
204,70.64515676996064
205,73.61036057694321
206,69.97408323134354
207,67.3584805799851
208,69.68581565808995
209,72.18243375800532
210,75.11146375955366
211,73.34991437937563
212,74.97545845593746
213,75.50357332910394
214,75.68303059452822
215,76.01483160341911
216,77.26772173091786
217,77.33911185063948
218,76.7061292098038
219,75.69828559697245
220,75.2140873985081
221,74.66902644199706
222,73.97615241154432
223,74.56225994798262
224,71.11059867100101
225,71.98480725565747
226,65.35979162204191
227,62.07104562620839
228,63.39186917858183
229,63.762699375804004
230,64.76817030642968
231,62.10622118564572
232,63.79601975568403
233,62.96922807048355
234,59.82564201464166
235,66.08231931719126
236,57.03914701195765
237,58.9661119988225
238,58.02227280762315
239,56.633907815213234
240,61.40550620133905
241,55.50087950647443
242,63.65077388681712
243,63.14400589998627
244,62.88464686060601
245,62.66894661711251
246,62.08026577587455
247,61.5585557669356
248,61.2491470510129
249,60.693495383257954
250,59.21338544894766
251,63.59468294902058
252,57.40392395092883
253,57.30884945935685
254,57.153808260789816
255,56.64922852798671
256,55.68193243333502
257,55.4032774722873
258,72.56405342933337
259,75.26849994667367
260,71.71973597443724
261,70.00878381516739
262,71.2515944325763
263,75.53782272660004
264,74.9719043157163
265,74.73345038180767
266,74.37066942109189
267,70.56298848348078
268,70.3190638736389
269,69.78561132120356
270,73.63586003811412
271,73.4615561014287
272,69.03223488721102
273,64.86817153025353
274,77.91929585467818
275,78.556236340384
276,78.39061411910703
277,78.33461856418637
278,78.35171381968831
279,78.41408899648044
280,77.09865861661828
281,78.38875109784931
282,79.76658318632298
283,76.78325795327578
284,75.80736086492678
285,76.97358076303041
286,76.52794602233476
287,75.12161717955587
288,73.9920876417437
289,74.52506119634367
290,66.72536818824236
291,68.46626659258072
292,69.1444414059959
293,69.64423310756675
294,68.93928224338626
295,69.13267985179044
296,68.7391602051668
297,72.58574099971486
298,68.17741768786664
299,70.18902862295329
300,71.05913495950716
301,71.15385198121965
302,70.66110027033406
303,70.39278741385024
304,66.06503044229197
305,63.725899562945074
306,63.22094113647424
307,62.37318650214348
308,61.68064951165391
309,61.073188235689315
310,61.20611804722006
311,60.70331332076469
312,57.75806970837502
313,59.8369863371386
314,65.24600189839879
315,64.21975681921967
316,61.29894463524087
317,61.439158964103626
318,59.270325863341924
319,61.04963243377338
320,62.05881782141816
321,62.53949980350933
322,70.4644722846621
323,70.3529863407519
324,70.42325539239764
325,74.31657046760205
326,69.5438400837431
327,69.50009713377321
328,69.82774953819685
329,68.39435740544297
330,67.71873560047487
331,73.42117781959428
332,68.42886870761066
333,68.18647807426402
334,65.25298403626053
335,67.57798263205004
336,65.87594073053111
337,67.34589048850265
338,73.66206483672147
339,73.64199631547464
340,73.56384392791276
341,72.99679101318867
342,72.54981772973943
343,73.80333378379976
344,71.50740803574928
345,70.9338876536572
346,69.39300328715635
347,70.3245983889692
348,69.95530438967452
349,70.2243862133111
350,69.7645614086799
351,69.96342354467339
352,69.44705716367284
353,72.17948319768391
354,78.42229554777228
355,79.54391207242986
356,78.28302823378542
357,79.06208266561615
358,77.83011230122321
359,76.30279522780867
360,77.34894261300136
361,77.27824166096121
362,75.66625001817422
363,75.62845617289625
364,73.9991567228835
365,74.83065738866654
366,76.0919735821775
367,72.83947196868499
368,74.63188718666086
369,74.65324769534817
370,71.19338385554505
371,73.42744526997646
372,70.01559654351007
373,72.9247289512212
374,69.94406158504532
375,68.48397345200709
376,72.1286191281051
377,69.0004101181643
378,68.66866989375609
379,68.2831652385544
380,68.74818925610367
381,68.9650535725664
382,68.73496590799058
383,68.56589420281844
384,68.20541317910491
385,67.69538752817488
386,56.33757239992869
387,55.14587603619336
388,54.65700066589042
389,55.631270558054666
390,64.69853710642374
391,54.376936706365285
392,50.59518740802119
393,45.48077166664102
394,43.034684614271484
395,40.70092224812086
396,39.83160620753762
397,37.03070749827695
398,37.483562762817684
399,42.5095887690258
400,42.05593953441958
401,43.556514912779704
402,68.7293931931132
403,64.55987210600009
404,69.10204755943528
405,62.28348335514269
406,64.32936687741676
407,60.677634071795325
408,63.73435705818642
409,63.23931324437123
410,63.1865589980587
411,62.93208015420615
412,61.355813340242605
413,62.01022083442152
414,61.17539740371879
415,60.64527035009215
416,57.574619094639644
417,56.78950825132489
418,81.07815818538381
419,80.12209248457097
420,79.85086618198213
421,79.48804134279135
422,80.31912374343835
423,78.32840491870368
424,77.90837610982462
425,78.68937051009522
426,78.557827044884
427,79.18349207532418
428,78.9740453775371
429,77.79488163352642
